order_id,trader_id,market_id,event_id,outcome,side,order_type,time_in_force,post_only,created_at,updated_at,price,size_shares,matched_size_shares,remaining_size_shares,status,cancel_reason,quote_age_ms,client_latency_ms,midpoint_before,orderbook_imbalance_before,spread_before_bps,builder_code,ui_entrypoint,signature_scheme,scoring_status,replace_count_15m,cancel_count_15m,account_age_days,wallet_balance_before_usdc,is_api_order,price_alert_active,coupon_banner_seen,date
ord_B0ZSCPNZON41,tr_0281,mkt_040,evt_040,YES,SELL,LIMIT,FAK,False,2026-01-03 05:06:35,2026-01-03 09:36:33,0.264,32.45,7.78,24.67,CANCELED,manual_review,206,337,0.281,0.219,39,builder_alpha,builder_embed,EIP-712,accepted,0,1,529,1670.68,True,False,False,2026-01-03
ord_5G54IQ5P1VBS,tr_0308,mkt_040,evt_040,YES,BUY,LIMIT,GTC,False,2026-01-03 05:48:15,2026-01-03 08:43:29,0.171,11.98,4.05,7.93,PARTIAL,,256,43,0.17,-0.502,54,builder_beta,market_page,EIP-712,accepted,1,0,390,1063.44,False,True,False,2026-01-03
ord_OZM47QBUQDXC,tr_0067,mkt_020,evt_020,YES,SELL,LIMIT,GTC,False,2026-01-03 09:23:03,2026-01-03 12:31:49,0.023,800.0,7.82,792.18,CANCELED,risk_engine,124,142,0.024,-0.476,33,builder_gamma,portfolio,EIP-712,accepted,4,5,18,1245.42,False,False,True,2026-01-03
ord_L3BGMWWOAW1H,tr_0170,mkt_040,evt_040,YES,SELL,LIMIT,GTC,False,2026-01-03 13:15:38,2026-01-03 14:19:55,0.222,49.48,33.99,15.49,PARTIAL,,359,261,0.217,0.0,74,builder_alpha,notification,EIP-712,accepted,2,1,591,886.25,False,True,False,2026-01-03
ord_AE0FYUI2CAOD,tr_0180,mkt_020,evt_020,YES,SELL,LIMIT,FOK,False,2026-01-03 15:24:48,2026-01-03 19:38:24,0.027,53.24,14.81,38.43,PARTIAL,,83,78,0.025,-0.531,134,builder_gamma,builder_embed,EIP-712,accepted,0,0,159,561.63,False,False,False,2026-01-03
ord_VN5NDCN1WTUL,tr_0331,mkt_020,evt_020,YES,SELL,LIMIT,GTD,False,2026-01-03 19:06:05,2026-01-03 20:43:56,0.28,11.57,5.42,6.15,PARTIAL,,147,226,0.304,-0.026,102,builder_beta,builder_embed,EIP-712,accepted,0,1,710,801.78,False,True,False,2026-01-03
ord_FU7WXVD2XMYC,tr_0216,mkt_040,evt_040,NO,BUY,LIMIT,GTC,False,2026-01-03 20:06:58,2026-01-03 22:53:01,0.176,25.94,6.12,19.82,CANCELED,user_cancel,167,137,0.169,0.064,41,builder_gamma,search,EIP-712,accepted,1,1,258,3882.6,False,True,False,2026-01-03
ord_UVCA6PQOLHDS,tr_0136,mkt_040,evt_040,YES,BUY,LIMIT,GTC,False,2026-01-04 01:52:49,2026-01-04 01:58:12,0.17,5.0,5.0,0.0,FILLED,,109,106,0.182,-0.177,92,builder_beta,builder_embed,EIP-712,accepted,0,2,479,8712.67,True,False,False,2026-01-04
ord_7ZIFNDMHUHO3,tr_0107,mkt_020,evt_020,YES,BUY,LIMIT,FAK,False,2026-01-04 02:11:42,2026-01-04 02:18:54,0.185,5.41,2.49,2.92,PARTIAL,,249,219,0.204,0.004,83,builder_gamma,search,EIP-712,accepted,1,1,606,555.93,False,False,False,2026-01-04
ord_LLOR9G8R3GVL,tr_0291,mkt_040,evt_040,YES,SELL,LIMIT,GTD,False,2026-01-04 03:24:09,2026-01-04 08:30:47,0.384,8.64,5.02,3.62,PARTIAL,,291,62,0.389,-0.327,43,builder_beta,search,EIP-712,accepted,0,4,449,377.6,True,False,False,2026-01-04
