session_id,trader_id,session_start,session_end,device_id,device_fingerprint_hash,device_type,os_name,browser_family,app_version,ip_address,ip_asn,ip_country,vpn_detected,tor_exit_detected,cookie_age_days,pageviews,avg_scroll_depth_pct,battery_pct_at_open,screen_resolution,locale_header,ab_test_bucket,push_permission,date
ses_0XJJVHOIQND8,tr_0269,2025-12-03 03:06:11,2025-12-03 03:12:26,dev_M52GCF9S,fp_PQDNBLWD8M7A,desktop,iOS,Firefox,2.11.0,60.161.185.223,8075,ES,False,False,29,13,97.0,33,390x844,de-DE,control,denied,2025-12-03
ses_C3ZKGYR58MX4,tr_0288,2025-12-03 12:50:19,2025-12-03 12:51:27,dev_YQQ14267,fp_YURNZP1OQKV0,mobile_web,Windows,AppWebView,2.10.1,81.201.121.17,15169,CA,False,False,0,24,28.5,99,1280x720,en-US,control,denied,2025-12-03
ses_AW7FIIYB1V7F,tr_0185,2025-12-03 18:10:39,2025-12-03 18:11:35,dev_0Z6TWFS4,fp_EBMAMODPZNW4,mobile_app,iOS,Safari,2.10.2,80.89.57.73,13335,NL,False,False,46,2,60.4,91,1536x864,es-ES,control,granted,2025-12-03
ses_XYN9T61QSKFN,tr_0293,2025-12-03 23:02:09,2025-12-03 23:13:44,dev_NMLWVAPF,fp_E0HRQSU95IYU,tablet,Android,Firefox,2.11.0,221.179.37.100,3320,US,False,False,0,5,58.7,77,1280x720,de-DE,B,granted,2025-12-03
ses_5KRKYN37MOVG,tr_0117,2025-12-04 08:29:03,2025-12-04 08:39:19,dev_Y1Y66M8I,fp_RS3LY7OFBS27,desktop,Windows,Chrome,2.11.0,99.188.229.65,8075,ES,False,False,55,12,53.6,29,1170x2532,es-ES,control,denied,2025-12-04
ses_OE8T4JKR3SX3,tr_0014,2025-12-04 09:00:36,2025-12-04 09:06:21,dev_AI6PARQJ,fp_W72PMNJ1YLMU,tablet,iOS,Firefox,3.0.0,146.248.70.163,24940,US,False,False,15,12,94.0,83,1920x1080,en-US,B,granted,2025-12-04
ses_T0N8FL90V33F,tr_0244,2025-12-05 08:38:06,2025-12-05 08:39:58,dev_TH09MTEQ,fp_LQA32PNZXNP6,mobile_web,macOS,Edge,2.11.1,12.1.13.203,15169,US,False,False,114,30,53.6,81,1280x720,fr-FR,B,denied,2025-12-05
ses_PH1DJVVH3T8X,tr_0349,2025-12-05 14:06:53,2025-12-05 14:10:28,dev_2G24GVA3,fp_4E5BCIDL8LGH,mobile_web,Android,AppWebView,2.11.0,128.45.234.75,15169,US,False,False,33,1,73.4,6,1170x2532,de-DE,A,unknown,2025-12-05
ses_4C40IRG29FLV,tr_0217,2025-12-05 16:01:18,2025-12-05 16:04:36,dev_WUL6RL9D,fp_TP3N6DO2GUTV,mobile_web,Android,Firefox,3.0.0,98.153.61.216,8075,US,True,False,129,40,57.6,37,390x844,en-US,A,unknown,2025-12-05
ses_FJRJE9BXPOPP,tr_0265,2025-12-06 07:20:05,2025-12-06 07:22:04,dev_O7Q1AZKC,fp_E02XMTNEIUEZ,mobile_app,Linux,Firefox,2.11.0,198.51.100.20,15169,CH,False,False,14,1,85.2,53,1280x720,fr-FR,C,unknown,2025-12-06
ses_Q235G0AHWTNU,tr_0281,2025-12-06 15:03:07,2025-12-06 15:04:46,dev_73YSKHY6,fp_H9WAVIAT22HD,tablet,macOS,Edge,2.10.1,62.29.39.20,20473,PL,False,False,132,22,57.1,70,1170x2532,es-ES,A,granted,2025-12-06
ses_K711UZQ6RF8L,tr_0153,2025-12-06 16:39:42,2025-12-06 16:44:45,dev_W7Y8AUBP,fp_M9DBEZA9AGUL,desktop,Windows,Chrome,2.10.2,79.51.182.161,14618,US,False,False,40,4,22.1,85,1280x720,fr-FR,A,granted,2025-12-06
