trade_id,market_id,event_id,trade_ts,buyer_trader_id,seller_trader_id,buy_order_id,sell_order_id,outcome,price,size_shares,notional_usdc,aggressor_side,buyer_fee_usdc,seller_fee_usdc,spread_at_trade_bps,midpoint_before,midpoint_after,signed_price_change_bps,onchain_settlement_delay_s,match_engine_latency_ms,is_self_trade_flag,same_builder_code_flag,price_improvement_bps,queue_position_estimate,seq_num,trade_date
trd_004750,mkt_040,evt_040,2026-01-03 05:15:40,tr_0093,tr_0281,ord_XIME6ACVW2W9,ord_B0ZSCPNZON41,YES,0.264,7.78,2.05,SELL,0.001,0.0008,48,0.281,0.267,-141,177,92,False,False,20,98,4750,2026-01-03
trd_006022,mkt_040,evt_040,2026-01-03 05:56:35,tr_0308,tr_0008,ord_5G54IQ5P1VBS,ord_V9AMLE13UM4D,YES,0.171,4.05,0.69,BUY,0.001,0.0004,47,0.17,0.167,-37,35,102,False,False,-1,7,6022,2026-01-03
trd_007082,mkt_020,evt_020,2026-01-03 09:24:02,tr_0333,tr_0067,ord_KOYLCQHSULR2,ord_OZM47QBUQDXC,YES,0.023,7.82,0.18,SELL,0.0002,0.0001,46,0.024,0.038,138,82,63,False,False,-5,19,7082,2026-01-03
trd_006481,mkt_040,evt_040,2026-01-03 13:16:47,tr_0263,tr_0170,ord_SNJQ48RGRYQB,ord_L3BGMWWOAW1H,YES,0.222,33.99,7.56,SELL,0.0076,0.0045,63,0.217,0.229,120,79,57,False,False,26,12,6481,2026-01-03
trd_005453,mkt_020,evt_020,2026-01-03 15:28:11,tr_0025,tr_0180,ord_G3Q285WVNWTS,ord_AE0FYUI2CAOD,YES,0.027,14.81,0.4,SELL,0.0006,0.0001,72,0.025,0.022,-27,71,68,False,False,3,69,5453,2026-01-03
trd_000666,mkt_020,evt_020,2026-01-03 19:15:21,tr_0333,tr_0331,ord_QZB0PO8BYVPJ,ord_VN5NDCN1WTUL,YES,0.28,5.42,1.52,SELL,0.0015,0.0006,56,0.304,0.265,-393,126,67,False,True,3,58,666,2026-01-03
trd_005917,mkt_040,evt_040,2026-01-03 20:08:29,tr_0216,tr_0196,ord_FU7WXVD2XMYC,ord_NHKNMCXPLVPC,NO,0.176,6.12,1.08,BUY,0.0005,0.0009,125,0.169,0.183,141,270,78,False,False,9,34,5917,2026-01-03
trd_007424,mkt_040,evt_040,2026-01-04 01:57:33,tr_0136,tr_0286,ord_UVCA6PQOLHDS,ord_6KD6WXEM0907,YES,0.17,5.0,0.85,BUY,0.0009,0.0007,122,0.182,0.172,-95,79,63,False,False,-26,35,7424,2026-01-04
trd_002953,mkt_020,evt_020,2026-01-04 02:14:00,tr_0107,tr_0344,ord_7ZIFNDMHUHO3,ord_Q1LFIX91ZS6P,YES,0.185,2.49,0.46,BUY,0.0009,0.0004,87,0.204,0.179,-249,76,19,False,False,18,28,2953,2026-01-04
trd_001780,mkt_040,evt_040,2026-01-04 03:27:10,tr_0118,tr_0291,ord_5VJOJ6Q1V4I8,ord_LLOR9G8R3GVL,YES,0.384,5.02,1.93,SELL,0.0019,0.0008,84,0.389,0.403,144,27,133,False,False,9,13,1780,2026-01-04
trd_000289,mkt_020,evt_020,2026-01-04 05:06:41,tr_0321,tr_0302,ord_SGA6T9P1JHLP,ord_X5RZ070LN6TF,NO,0.281,16.48,4.63,BUY,0.0046,0.0019,119,0.294,0.296,28,113,66,False,False,16,13,289,2026-01-04
trd_003543,mkt_040,evt_040,2026-01-04 06:22:51,tr_0193,tr_0292,ord_D8TF76RBKJDF,ord_KJ0I1SVGZHCI,NO,0.291,16.46,4.79,BUY,0.0072,0.0038,132,0.31,0.284,-257,24,124,False,False,-4,22,3543,2026-01-04
trd_003488,mkt_040,evt_040,2026-01-04 07:06:42,tr_0205,tr_0141,ord_OGXSRVEYTQ9G,ord_NB5XQ0XVQ9QM,YES,0.279,9.87,2.76,BUY,0.0014,0.0011,75,0.27,0.277,75,366,112,False,False,-2,11,3488,2026-01-04
trd_004160,mkt_020,evt_020,2026-01-04 10:01:26,tr_0008,tr_0232,ord_PZQSKKRW99MU,ord_IDU30QO4UUJT,NO,0.144,6.54,0.94,SELL,0.0009,0.0004,84,0.134,0.162,290,39,23,False,False,-2,10,4160,2026-01-04
trd_003243,mkt_020,evt_020,2026-01-04 11:19:05,tr_0188,tr_0246,ord_4BTFBO17EQNA,ord_QXAR72RW4SFM,YES,0.198,35.39,7.0,BUY,0.014,0.0,34,0.205,0.19,-149,220,95,False,False,-11,136,3243,2026-01-04
trd_002234,mkt_020,evt_020,2026-01-04 11:47:49,tr_0349,tr_0209,ord_X6X8U7MTK33J,ord_444NCP3O5138,YES,0.208,1.35,0.28,BUY,0.0003,0.0002,80,0.218,0.212,-69,15,28,False,False,-14,48,2234,2026-01-04
trd_007234,mkt_020,evt_020,2026-01-04 11:57:33,tr_0165,tr_0205,ord_JZ0D4I0UBP8W,ord_6MB45RRU9YZ2,NO,0.062,113.02,7.05,BUY,0.0071,0.0042,96,0.054,0.058,42,258,33,False,False,-17,28,7234,2026-01-04
trd_005885,mkt_020,evt_020,2026-01-04 12:02:54,tr_0147,tr_0333,ord_ACBLMA686H8X,ord_NEEU68ML4R0V,YES,0.058,17.99,1.05,BUY,0.0005,0.0006,57,0.029,0.052,231,25,44,False,False,0,75,5885,2026-01-04
trd_002184,mkt_020,evt_020,2026-01-04 12:30:43,tr_0207,tr_0298,ord_G3DP3F5QSKB9,ord_6GV6Z4FKE59M,NO,0.196,6.38,1.25,BUY,0.0012,0.0005,5,0.172,0.218,460,25,43,False,False,-11,10,2184,2026-01-04
trd_007671,mkt_020,evt_020,2026-01-04 13:55:30,tr_0073,tr_0333,ord_6C5UIOWD8155,ord_CKJMRR4FSIDN,YES,0.092,1.89,0.17,BUY,0.0003,0.0001,121,0.089,0.093,40,87,47,False,False,-6,56,7671,2026-01-04
trd_007117,mkt_020,evt_020,2026-01-04 14:39:45,tr_0134,tr_0293,ord_9XSOEL3RP97E,ord_ZAP8VLKT7J4G,NO,0.053,3.22,0.17,SELL,0.0002,0.0001,83,0.053,0.073,205,80,79,False,False,-16,24,7117,2026-01-04
trd_005261,mkt_040,evt_040,2026-01-04 14:44:59,tr_0084,tr_0001,ord_WVQU2CJ2MDUS,ord_BK72X4BJU8QM,YES,0.221,19.07,4.21,BUY,0.0042,0.0,48,0.231,0.218,-130,187,36,False,False,-5,10,5261,2026-01-04
trd_006397,mkt_020,evt_020,2026-01-04 15:55:20,tr_0333,tr_0205,ord_H35CUAPR3OG8,ord_DFD28AKOSRGO,NO,0.054,3.55,0.19,SELL,0.0002,0.0001,58,0.061,0.057,-43,20,47,False,False,-18,23,6397,2026-01-04
trd_006465,mkt_040,evt_040,2026-01-04 18:52:50,tr_0010,tr_0304,ord_LI6QW0SYC3RN,ord_RFR7L3PS4IGS,NO,0.221,0.34,0.08,BUY,0.0001,0.0,106,0.214,0.217,22,297,71,False,False,-16,32,6465,2026-01-04
trd_001557,mkt_040,evt_040,2026-01-05 00:02:53,tr_0222,tr_0296,ord_YCSYJOZJJBO3,ord_ITUD8QUHU4C4,NO,0.47,4.54,2.13,SELL,0.0032,0.0013,114,0.488,0.45,-379,472,64,False,False,-24,38,1557,2026-01-05
trd_005979,mkt_040,evt_040,2026-01-05 04:04:49,tr_0223,tr_0355,ord_Z4AAF49FYOCM,ord_K3W5RHUKREJS,YES,0.179,144.23,25.78,BUY,0.0258,0.0052,84,0.166,0.17,46,35,60,False,False,20,32,5979,2026-01-05
trd_005417,mkt_008,evt_008,2026-01-05 04:09:59,tr_0188,tr_0146,ord_KMM71QZUI52P,ord_YLB8KI36RYNE,NO,0.619,5.0,3.1,BUY,0.0062,0.0019,100,0.611,0.612,12,55,44,False,False,3,29,5417,2026-01-05
trd_004442,mkt_001,evt_001,2026-01-05 04:22:45,tr_0214,tr_0025,ord_7LEOPFEVZ5L5,ord_WZBAUJC2DWRJ,NO,0.803,17.13,13.76,BUY,0.0138,0.0083,7,0.794,0.797,22,172,63,False,False,14,17,4442,2026-01-05
trd_007136,mkt_040,evt_040,2026-01-05 05:26:23,tr_0238,tr_0001,ord_VO54HU4T8IK8,ord_IYRZ84VHF1TV,YES,0.171,0.15,0.03,BUY,0.0,0.0,114,0.187,0.18,-69,800,69,False,False,-5,17,7136,2026-01-05
trd_001272,mkt_040,evt_040,2026-01-05 05:33:13,tr_0306,tr_0111,ord_SSFHA162LU3W,ord_R06NZYMWV6ST,NO,0.532,28.99,15.41,SELL,0.0154,0.0031,129,0.534,0.525,-86,18,64,False,False,2,44,1272,2026-01-05
trd_004327,mkt_020,evt_020,2026-01-05 05:53:22,tr_0334,tr_0222,ord_JR1JQBLO22MR,ord_56WJ3JN4LIXW,YES,0.081,2.23,0.18,SELL,0.0,0.0,108,0.098,0.089,-84,174,43,False,False,20,94,4327,2026-01-05
